,날짜,누적수익률_Opt,누적수익률_714157,누적수익률_714207,누적수익률_714243,누적수익률,최고누적,DD,MDD,HL,HLcount,cummax,underwater
0,20170102,1.9431806892711703,0.85,2.38,3.53,1.0194318068927117,1.0194318068927117,0.0,0.0,1,1,1.0194318068927117,False
1,20170103,2.1788322215322364,0.66,2.83,4.3,1.0217883222153223,1.0217883222153223,0.0,0.0,1,2,1.0217883222153223,False
2,20170104,2.209211356387451,1.63,1.9,4.07,1.0220921135638745,1.0220921135638745,0.0,0.0,1,3,1.0220921135638745,False
3,20170105,3.124792411401554,2.58,2.72,5.09,1.0312479241140156,1.0312479241140156,0.0,0.0,1,4,1.0312479241140156,False
4,20170106,3.4029359311323217,3.23,2.96,4.62,1.0340293593113232,1.0340293593113232,0.0,0.0,1,5,1.0340293593113232,False
5,20170109,4.0218302481187855,3.93,3.51,5.19,1.040218302481188,1.040218302481188,0.0,0.0,1,6,1.040218302481188,False
6,20170110,4.418856673191306,4.06,4.26,5.51,1.044188566731913,1.044188566731913,0.0,0.0,1,7,1.044188566731913,False
7,20170111,4.572335669083918,4.34,3.96,6.24,1.0457233566908393,1.0457233566908393,0.0,0.0,1,8,1.0457233566908393,False
8,20170112,5.193728159251424,4.88,4.99,6.27,1.0519372815925143,1.0519372815925143,0.0,0.0,1,9,1.0519372815925143,False
9,20170113,5.6502802163192385,5.75,4.76,7.11,1.0565028021631924,1.0565028021631924,0.0,0.0,1,10,1.0565028021631924,False
10,20170116,5.020203655042699,3.79,5.34,7.13,1.050202036550427,1.0565028021631924,-0.005963794511348763,-0.005963794511348763,-1,-1,1.0565028021631924,True
11,20170117,5.570030232247019,4.91,4.99,8.12,1.0557003023224703,1.0565028021631924,-0.0007595813651217753,-0.005963794511348763,-1,-2,1.0565028021631924,True
12,20170118,4.838669061900603,3.57,4.98,7.37,1.048386690619006,1.0565028021631924,-0.007682053968592006,-0.007682053968592006,-1,-3,1.0565028021631924,True
13,20170119,5.391893012966523,3.33,6.6,7.66,1.0539189301296652,1.0565028021631924,-0.0024456840324859064,-0.007682053968592006,-1,-4,1.0565028021631924,True
14,20170120,5.383707937166789,3.39,6.9,6.92,1.0538370793716678,1.0565028021631924,-0.0025231573319696166,-0.007682053968592006,-1,-5,1.0565028021631924,True
15,20170123,4.786717564902574,2.69,6.16,6.82,1.0478671756490257,1.0565028021631924,-0.008173784770362458,-0.008173784770362458,-1,-6,1.0565028021631924,True
16,20170124,3.2801146988196814,0.48,6.14,4.06,1.0328011469881968,1.0565028021631924,-0.022434067497470345,-0.022434067497470345,-1,-7,1.0565028021631924,True
17,20170125,3.8417425420581948,0.47,7.27,4.81,1.038417425420582,1.0565028021631924,-0.01711815312328613,-0.022434067497470345,-1,-8,1.0565028021631924,True
18,20170126,4.714036655073148,1.55,7.8,5.87,1.0471403665507315,1.0565028021631924,-0.008861723407918354,-0.022434067497470345,-1,-9,1.0565028021631924,True
19,20170131,6.556255027524968,3.47,9.95,6.96,1.0655625502752497,1.0655625502752497,0.0,-0.022434067497470345,1,1,1.0655625502752497,False
20,20170201,6.915174276059487,3.75,10.39,7.34,1.0691517427605948,1.0691517427605948,0.0,-0.022434067497470345,1,2,1.0691517427605948,False
21,20170202,6.354920264974527,3.38,9.48,7.02,1.0635492026497453,1.0691517427605948,-0.005240173014527838,-0.022434067497470345,-1,-1,1.0691517427605948,True
22,20170203,7.602883179839339,4.33,11.16,8.11,1.0760288317983935,1.0760288317983935,0.0,-0.022434067497470345,1,1,1.0760288317983935,False
23,20170206,7.788736991775117,5.16,11.02,7.49,1.0778873699177511,1.0778873699177511,0.0,-0.022434067497470345,1,2,1.0778873699177511,False
24,20170207,8.011935328842302,5.64,10.95,7.7,1.080119353288423,1.080119353288423,0.0,-0.022434067497470345,1,3,1.080119353288423,False
25,20170208,7.074374625925618,3.47,11.2,7.24,1.0707437462592562,1.080119353288423,-0.008680158355299228,-0.022434067497470345,-1,-1,1.080119353288423,True
26,20170209,8.525271958292034,4.66,13.55,7.57,1.0852527195829202,1.0852527195829202,0.0,-0.022434067497470345,1,1,1.0852527195829202,False
27,20170210,7.7840863051409315,4.39,12.48,6.41,1.0778408630514094,1.0852527195829202,-0.006829613414246372,-0.022434067497470345,-1,-1,1.0852527195829202,True
28,20170213,8.416137970837363,4.98,13.21,6.95,1.0841613797083736,1.0852527195829202,-0.0010056089746230956,-0.022434067497470345,-1,-2,1.0852527195829202,True
29,20170214,10.905393889621958,7.07,16.42,8.96,1.1090539388962195,1.1090539388962195,0.0,-0.022434067497470345,1,1,1.1090539388962195,False
30,20170215,12.031436890778119,7.88,18.03,9.87,1.1203143689077812,1.1203143689077812,0.0,-0.022434067497470345,1,2,1.1203143689077812,False
31,20170216,12.050650848370358,7.08,18.54,10.77,1.1205065084837036,1.1205065084837036,0.0,-0.022434067497470345,1,3,1.1205065084837036,False
32,20170217,11.357411370824225,6.91,17.35,9.86,1.1135741137082422,1.1205065084837036,-0.006186840257485393,-0.022434067497470345,-1,-1,1.1205065084837036,True
33,20170220,12.149910074334215,7.81,18.58,9.59,1.1214991007433421,1.1214991007433421,0.0,-0.022434067497470345,1,1,1.1214991007433421,False
34,20170221,12.55361537291342,7.55,19.47,10.54,1.1255361537291342,1.1255361537291342,0.0,-0.022434067497470345,1,2,1.1255361537291342,False
35,20170222,13.899300143749684,8.43,21.75,11.15,1.138993001437497,1.138993001437497,0.0,-0.022434067497470345,1,3,1.138993001437497,False
36,20170223,14.183844364627564,8.65,22.07,11.51,1.1418384436462756,1.1418384436462756,0.0,-0.022434067497470345,1,4,1.1418384436462756,False
