날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,5,2,3,3.53,3.53,10352549.00,6710664.00
20170103,2,3,2,0.75,4.30,10429957.00,7897789.00
20170104,3,2,3,-0.22,4.07,10407418.00,6710854.00
20170105,4,3,4,0.98,5.09,10509227.00,5519374.00
20170106,4,4,4,-0.45,4.62,10461900.00,5544840.00
20170109,2,4,2,0.55,5.19,10519236.00,7992338.00
20170110,4,2,4,0.31,5.51,10551419.00,5515784.00
20170111,2,4,2,0.68,6.24,10623675.00,8057025.00
20170112,2,2,2,0.04,6.27,10627460.00,8104738.00
20170113,4,4,2,0.78,7.11,10710797.00,8152976.00
20170116,6,3,5,0.02,7.13,10712633.00,4297963.00
20170117,3,5,3,0.93,8.12,10812384.00,6895374.00
20170118,5,2,6,-0.70,7.37,10737137.00,3151776.00
20170119,1,6,1,0.27,7.66,10766202.00,9451802.00
20170120,3,1,3,-0.69,6.92,10691756.00,6919941.00
20170123,3,3,3,-0.09,6.82,10682415.00,6900215.00
20170124,5,6,2,-2.59,4.06,10405919.00,7866948.00
20170125,4,2,4,0.72,4.81,10480957.00,6143375.00
20170126,4,4,4,1.01,5.87,10586722.00,5532375.00
20170131,1,4,1,1.04,6.96,10696469.00,9396689.00
20170201,3,1,3,0.35,7.34,10733591.00,6871856.00
20170202,3,3,3,-0.29,7.02,10702498.00,6891288.00
20170203,2,4,1,1.01,8.11,10810629.00,9533729.00
20170206,4,1,4,-0.57,7.49,10749134.00,5742624.00
20170207,2,4,2,0.20,7.70,10770297.00,8186617.00
20170208,4,2,4,-0.43,7.24,10723836.00,5666976.00
20170209,3,3,4,0.31,7.57,10757442.00,5584442.00
20170210,1,5,0,-1.08,6.41,10641324.00,10641324.00
20170213,5,0,5,0.50,6.95,10694759.00,4335889.00
20170214,3,5,3,1.88,8.96,10896119.00,7061989.00
20170215,2,3,2,0.84,9.87,10987102.00,8353803.00
20170216,3,2,3,0.82,10.77,11077233.00,7150143.00
20170217,3,2,4,-0.82,9.86,10985942.00,5746857.00
20170220,1,4,1,-0.24,9.59,10959321.00,9680862.00
20170221,5,1,5,0.86,10.54,11054070.00,4457380.00
20170222,2,5,2,0.55,11.15,11115011.00,8448075.00
