날짜,매수 종목수,매도 종목수,남은 종목수,일일수익률,누적수익률,총자산,남은 현금
20170102,8,0,8,0.85,0.85,10084910.00,516886.00
20170103,0,3,5,0.23,1.08,10107702.00,4189739.00
20170104,3,0,8,1.96,3.06,10305616.00,594567.00
20170105,0,6,2,0.06,3.12,10311578.00,7889938.00
20170106,6,0,8,-0.44,2.66,10266490.00,570440.00
20170109,0,3,5,0.17,2.84,10283672.00,4261318.00
20170110,3,1,7,-0.47,2.35,10235094.00,1793312.00
20170111,1,5,3,0.56,2.92,10291953.00,6630003.00
20170112,5,1,7,-0.59,2.32,10231517.00,1793617.00
20170113,1,3,5,-0.85,1.44,10144189.00,4183019.00
20170116,3,1,7,-2.00,-0.59,9941416.00,1794776.00
20170117,1,3,5,-0.09,-0.68,9932061.00,3977271.00
20170118,3,1,7,0.84,0.16,10015699.00,1663744.00
20170119,1,4,4,1.38,1.54,10153567.00,5297942.00
20170120,4,4,4,0.15,1.69,10168591.00,5392741.00
20170123,4,0,8,-1.23,0.44,10043935.00,568105.00
20170124,0,1,7,0.64,1.08,10108203.00,1788289.00
20170125,1,4,4,-0.67,0.40,10040430.00,5269176.00
20170126,4,3,5,4.22,4.64,10463642.00,4070637.00
20170131,3,2,6,-2.52,2.00,10199833.00,2894690.00
20170201,2,1,8,1.04,3.06,10306317.00,1545076.00
20170202,1,7,2,-2.86,0.11,10011334.00,8717174.00
20170203,7,1,8,-1.21,-1.09,9890523.00,1174715.00
20170206,0,0,8,4.03,2.89,10288949.00,1174715.00
20170207,0,6,2,-0.74,2.13,10212886.00,8572270.00
20170208,7,2,7,0.57,2.71,10271309.00,1908859.00
20170209,1,3,5,-0.43,2.27,10227127.00,4351437.00
20170210,3,0,8,2.50,4.83,10482537.00,710182.00
20170213,0,4,4,0.62,5.48,10547864.00,5842354.00
20170214,4,2,6,-0.90,4.53,10452630.00,3184045.00
20170215,2,2,6,0.62,5.18,10517698.00,3100068.00
20170216,2,1,7,0.07,5.25,10524983.00,1888375.00
20170217,1,4,4,0.66,5.95,10594546.00,5604070.00
20170220,4,2,6,-0.01,5.93,10593214.00,3159299.00
20170221,2,1,7,0.45,6.40,10640488.00,1892143.00
20170222,1,1,7,0.61,7.06,10705618.00,1898943.00
20170223,1,6,3,-0.07,6.98,10697624.00,7839609.00
20170224,6,1,8,-1.24,5.65,10565444.00,574658.00
20170227,0,2,6,0.54,6.23,10622778.00,3188930.00
20170228,2,2,6,-0.69,5.50,10549675.00,3189421.00
20170302,2,4,4,0.35,5.86,10586278.00,5585429.00
20170303,4,1,7,0.30,6.18,10617941.00,1815064.00
20170306,1,6,2,-0.09,6.09,10608812.00,8122442.00
20170307,6,0,8,0.80,6.93,10693202.00,582168.00
20170308,0,5,3,-0.01,6.92,10692010.00,6893840.00
20170309,5,2,6,-0.86,6.00,10600485.00,4389944.00
20170310,3,2,7,1.66,7.76,10776087.00,3047532.00
20170313,0,5,2,0.05,7.81,10781126.00,8207954.00
20170314,6,2,6,-0.53,7.24,10724220.00,3109537.00
20170315,2,1,7,0.01,7.25,10724964.00,1856825.00
20170316,1,1,7,1.25,8.59,10859421.00,1965933.00
20170317,1,5,3,-2.40,5.99,10599104.00,6761309.00
20170320,5,2,6,-1.27,4.64,10464243.00,3053422.00
20170321,2,1,7,0.02,4.67,10466654.00,1774178.00
20170322,1,0,8,-1.28,3.32,10332403.00,538828.00
20170323,0,6,2,-0.43,2.88,10288092.00,7844862.00
20170324,6,2,6,0.01,2.89,10288740.00,3001580.00
20170327,2,1,7,-1.05,1.81,10180710.00,1793100.00
20170328,1,0,8,1.80,3.64,10364425.00,584450.00
20170329,0,8,1,0.22,3.87,10387415.00,9637015.00
20170330,7,1,7,0.59,4.48,10448193.00,1838311.00
20170331,1,2,6,7.55,12.37,11236568.00,3131840.00
20170403,2,2,6,3.13,15.88,11588183.00,3918893.00
20170404,2,3,5,-2.02,13.55,11354589.00,4864241.00
20170405,3,1,7,1.66,15.43,11543119.00,1990381.00
20170406,1,4,4,-0.48,14.88,11487713.00,6104978.00
20170407,4,1,7,-0.22,14.63,11462846.00,2034412.00
20170410,1,2,6,-1.81,12.55,11255269.00,3268688.00
20170411,2,1,7,-0.70,11.76,11176152.00,2017970.00
20170412,1,5,3,0.58,12.41,11240981.00,7266128.00
20170413,5,2,6,1.97,14.62,11462223.00,3272884.00
20170414,2,1,7,-2.19,12.12,11211569.00,2032466.00
20170417,1,1,7,0.72,12.93,11292786.00,2031272.00
20170418,1,5,3,0.42,13.40,11340410.00,7290951.00
20170419,5,3,5,0.30,13.74,11374251.00,4662620.00
20170420,3,1,7,3.69,17.94,11794010.00,2018438.00
20170421,1,3,5,-0.30,17.59,11758566.00,5194955.00
20170424,3,3,5,-2.01,15.22,11522266.00,4834026.00
20170425,3,1,7,1.24,16.66,11665539.00,2064369.00
20170426,1,3,5,-0.97,15.52,11552176.00,4792576.00
20170427,3,2,6,-0.49,14.95,11495453.00,3291152.00
20170428,2,2,6,-1.03,13.78,11377515.00,3312211.00
20170502,2,2,6,-2.85,10.53,11052741.00,3266229.00
20170504,2,3,5,2.08,12.83,11283148.00,4540318.00
20170508,3,3,5,-0.27,12.53,11252946.00,5685491.00
20170510,4,3,7,0.01,12.54,11254199.00,2283419.00
20170511,1,3,5,1.02,13.69,11368806.00,4659135.00
20170512,3,3,5,-0.07,13.61,11361016.00,4693851.00
20170515,3,2,6,1.49,15.30,11529918.00,3290616.00
20170516,2,4,4,-0.88,14.28,11427895.00,5999495.00
20170517,4,3,5,-0.56,13.64,11363623.00,4623018.00
20170518,3,1,7,-0.10,13.53,11352744.00,2000019.00
20170519,1,2,6,1.57,15.31,11530797.00,3394172.00
20170522,2,5,3,0.31,15.66,11566077.00,7476193.00
20170523,5,0,8,0.83,16.62,11662345.00,615987.00
20170524,0,3,5,-0.60,15.92,11592361.00,4737688.00
20170525,3,3,5,1.35,17.48,11748427.00,4879049.00
20170526,3,5,3,0.07,17.56,11756392.00,7570497.00
20170529,5,1,7,-0.43,17.06,11705895.00,2036220.00
20170530,1,1,7,1.24,18.51,11850577.00,2043867.00
20170531,1,4,4,0.19,18.73,11873180.00,6203855.00
20170601,4,4,4,0.67,19.53,11953181.00,6238019.00
20170602,4,4,4,0.03,19.56,11956292.00,6286122.00
20170605,4,2,6,-1.42,17.87,11786954.00,3460597.00
20170607,2,0,8,-0.30,17.51,11751242.00,663267.00
20170608,0,5,3,-0.17,17.31,11730849.00,7593038.00
20170609,5,3,5,1.41,18.96,11896456.00,4863569.00
20170612,3,2,6,-0.37,18.53,11852627.00,3409194.00
20170613,2,1,7,2.29,21.24,12124089.00,2062438.00
20170614,1,4,4,-0.16,21.05,12105158.00,6517533.00
20170615,4,1,7,1.22,22.53,12253178.00,2171563.00
20170616,1,5,3,-0.44,21.99,12198899.00,7922004.00
20170619,5,1,7,0.55,22.66,12265920.00,2083965.00
20170620,1,2,7,-1.93,20.29,12029139.00,3478429.00
20170621,2,2,7,-1.31,18.71,11871327.00,2140187.00
20170622,1,5,3,-0.39,18.25,11825169.00,7696429.00
20170623,5,1,7,1.15,19.61,11961119.00,3290253.00
20170626,2,3,6,-0.49,19.03,11902862.00,3439245.00
20170627,2,1,7,1.25,20.51,12051200.00,2034960.00
20170628,1,4,4,-0.65,19.73,11973317.00,6274987.00
20170629,4,1,7,0.31,20.10,12009965.00,2065367.00
20170630,1,3,5,-0.08,20.00,12000277.00,4897447.00
20170703,3,2,6,-1.22,18.54,11854321.00,3524023.00
20170704,2,2,6,-0.33,18.16,11815650.00,3517493.00
20170705,2,2,6,0.06,18.22,11822169.00,3569312.00
20170706,2,3,5,-0.16,18.03,11802969.00,4809609.00
20170707,3,2,6,-0.77,17.12,11711934.00,3464789.00
20170710,2,2,6,-2.24,14.50,11449804.00,3445094.00
20170711,2,2,6,1.74,16.49,11649305.00,3376795.00
20170712,2,3,5,-0.70,15.67,11567464.00,4662774.00
20170713,3,1,7,-0.21,15.43,11542767.00,1909212.00
20170714,1,2,6,-0.38,14.99,11499233.00,3283823.00
20170717,2,4,4,-0.24,14.72,11471990.00,6008450.00
20170718,4,1,7,0.99,15.86,11585545.00,1975980.00
20170719,1,2,6,0.93,16.93,11693311.00,3401751.00
